,Borough,Crime Type,Count
245,Lambeth,Possession of Weapons,680
246,Lambeth,Public Order Offences,2455
247,Lambeth,Robbery,1457
248,Lambeth,Sexual Offences,1139
249,Lambeth,Theft,10600
250,Lambeth,Vehicle Offences,3718
251,Lambeth,Violence Against the Person,10222
252,Lewisham,Arson and Criminal Damage,2308
253,Lewisham,Burglary,2771
254,Lewisham,Drug Offences,2243
255,Lewisham,Miscellaneous Crimes Against Society,476
256,Lewisham,Other Accepted Crime,3446
257,Lewisham,Possession of Weapons,525
258,Lewisham,Public Order Offences,2035
259,Lewisham,Robbery,1316
260,Lewisham,Sexual Offences,717
261,Lewisham,Theft,5757
262,Lewisham,Vehicle Offences,4319
263,Lewisham,Violence Against the Person,9323
264,Merton,Arson and Criminal Damage,1200
265,Merton,Burglary,1722
266,Merton,Drug Offences,959
267,Merton,Miscellaneous Crimes Against Society,248
268,Merton,Other Accepted Crime,1762
269,Merton,Possession of Weapons,162
270,Merton,Public Order Offences,1017
271,Merton,Robbery,452
272,Merton,Sexual Offences,395
273,Merton,Theft,3254
274,Merton,Vehicle Offences,2100
275,Merton,Violence Against the Person,4379
276,Newham,Arson and Criminal Damage,2336
277,Newham,Burglary,2439
278,Newham,Drug Offences,4833
279,Newham,Miscellaneous Crimes Against Society,593
280,Newham,Other Accepted Crime,3937
281,Newham,Possession of Weapons,624
282,Newham,Public Order Offences,2288
283,Newham,Robbery,2063
284,Newham,Sexual Offences,985
285,Newham,Theft,9862
286,Newham,Vehicle Offences,4573
287,Newham,Violence Against the Person,10170
288,Redbridge,Arson and Criminal Damage,1604
289,Redbridge,Burglary,2248
290,Redbridge,Drug Offences,1818
291,Redbridge,Miscellaneous Crimes Against Society,334
292,Redbridge,Other Accepted Crime,2823
293,Redbridge,Possession of Weapons,260
294,Redbridge,Public Order Offences,1325
295,Redbridge,Robbery,1041
296,Redbridge,Sexual Offences,505
297,Redbridge,Theft,5021
298,Redbridge,Vehicle Offences,4930
299,Redbridge,Violence Against the Person,6883
300,Richmond upon Thames,Arson and Criminal Damage,1050
301,Richmond upon Thames,Burglary,1609
302,Richmond upon Thames,Drug Offences,454
303,Richmond upon Thames,Miscellaneous Crimes Against Society,146
304,Richmond upon Thames,Other Accepted Crime,1413
305,Richmond upon Thames,Possession of Weapons,86
306,Richmond upon Thames,Public Order Offences,923
307,Richmond upon Thames,Robbery,471
308,Richmond upon Thames,Sexual Offences,302
309,Richmond upon Thames,Theft,3087
310,Richmond upon Thames,Vehicle Offences,2395
311,Richmond upon Thames,Violence Against the Person,3191
312,Southwark,Arson and Criminal Damage,2275
313,Southwark,Burglary,3367
314,Southwark,Drug Offences,3596
315,Southwark,Miscellaneous Crimes Against Society,501
316,Southwark,Other Accepted Crime,3195
317,Southwark,Possession of Weapons,600
318,Southwark,Public Order Offences,2254
319,Southwark,Robbery,2594
320,Southwark,Sexual Offences,850
321,Southwark,Theft,13110
322,Southwark,Vehicle Offences,4058
323,Southwark,Violence Against the Person,9848
324,Sutton,Arson and Criminal Damage,1205
325,Sutton,Burglary,1406
326,Sutton,Drug Offences,743
327,Sutton,Miscellaneous Crimes Against Society,211
328,Sutton,Other Accepted Crime,1870
329,Sutton,Possession of Weapons,152
330,Sutton,Public Order Offences,1013
331,Sutton,Robbery,319
332,Sutton,Sexual Offences,298
333,Sutton,Theft,2796
334,Sutton,Vehicle Offences,2228
335,Sutton,Violence Against the Person,4547
336,Tower Hamlets,Arson and Criminal Damage,2217
337,Tower Hamlets,Burglary,3369
338,Tower Hamlets,Drug Offences,3765
339,Tower Hamlets,Miscellaneous Crimes Against Society,540
340,Tower Hamlets,Other Accepted Crime,3703
341,Tower Hamlets,Possession of Weapons,519
342,Tower Hamlets,Public Order Offences,2567
343,Tower Hamlets,Robbery,1540
344,Tower Hamlets,Sexual Offences,844
345,Tower Hamlets,Theft,9693
346,Tower Hamlets,Vehicle Offences,4293
347,Tower Hamlets,Violence Against the Person,9462
348,Waltham Forest,Arson and Criminal Damage,1793
349,Waltham Forest,Burglary,2053
350,Waltham Forest,Drug Offences,2401
351,Waltham Forest,Miscellaneous Crimes Against Society,356
352,Waltham Forest,Other Accepted Crime,2832
353,Waltham Forest,Possession of Weapons,405
354,Waltham Forest,Public Order Offences,1353
355,Waltham Forest,Robbery,885
356,Waltham Forest,Sexual Offences,522
357,Waltham Forest,Theft,5287
358,Waltham Forest,Vehicle Offences,4406
359,Waltham Forest,Violence Against the Person,6777
360,Wandsworth,Arson and Criminal Damage,1757
361,Wandsworth,Burglary,2861
362,Wandsworth,Drug Offences,1318
363,Wandsworth,Miscellaneous Crimes Against Society,383
364,Wandsworth,Other Accepted Crime,2708
365,Wandsworth,Possession of Weapons,278
366,Wandsworth,Public Order Offences,1771
367,Wandsworth,Robbery,947
368,Wandsworth,Sexual Offences,748
369,Wandsworth,Theft,6646
370,Wandsworth,Vehicle Offences,4256
371,Wandsworth,Violence Against the Person,7263
372,Westminster,Arson and Criminal Damage,2590
373,Westminster,Burglary,4891
374,Westminster,Drug Offences,4332
375,Westminster,Miscellaneous Crimes Against Society,550
376,Westminster,Other Accepted Crime,3809
377,Westminster,Possession of Weapons,688
378,Westminster,Public Order Offences,3840
379,Westminster,Robbery,4645
380,Westminster,Sexual Offences,1240
381,Westminster,Theft,47320
382,Westminster,Vehicle Offences,4954
383,Westminster,Violence Against the Person,12211
