Borough,Crime Type,Count,Adjusted crime types per 1000 population,Population
Harrow,Public Order Offences,1001,3.985507246,"251,160"
Harrow,Robbery,664,2.643733079,"251,160"
Harrow,Sexual Offences,492,1.958910655,"251,160"
Harrow,Theft,3682,14.6599777,"251,160"
Harrow,Vehicle Offences,2913,11.59818442,"251,160"
Harrow,Violence Against the Person,5104,20.32170728,"251,160"
Havering,Arson and Criminal Damage,1437,5.536462828,"259,552"
Havering,Burglary,1994,7.682468253,"259,552"
Havering,Drug Offences,1013,3.902878807,"259,552"
Havering,Miscellaneous Crimes Against Society,335,1.290685489,"259,552"
Havering,Other Accepted Crime,2672,10.29466157,"259,552"
Havering,Possession of Weapons,262,1.009431636,"259,552"
Havering,Public Order Offences,1236,4.762051535,"259,552"
Havering,Robbery,767,2.955091851,"259,552"
Havering,Sexual Offences,517,1.991893725,"259,552"
Havering,Theft,4216,16.2433732,"259,552"
Havering,Vehicle Offences,3020,11.63543336,"259,552"
Havering,Violence Against the Person,5989,23.07437431,"259,552"
Hillingdon,Arson and Criminal Damage,2386,7.775279434,"306,870"
Hillingdon,Burglary,2871,9.355753251,"306,870"
Hillingdon,Drug Offences,1895,6.175253365,"306,870"
Hillingdon,Miscellaneous Crimes Against Society,388,1.264379053,"306,870"
Hillingdon,Other Accepted Crime,3410,11.11219735,"306,870"
Hillingdon,Possession of Weapons,274,0.892886238,"306,870"
Hillingdon,Public Order Offences,1769,5.764656043,"306,870"
Hillingdon,Robbery,873,2.844852869,"306,870"
Hillingdon,Sexual Offences,530,1.727115717,"306,870"
Hillingdon,Theft,5805,18.91680516,"306,870"
Hillingdon,Vehicle Offences,4677,15.24098152,"306,870"
Hillingdon,Violence Against the Person,8155,26.57477108,"306,870"
Hounslow,Arson and Criminal Damage,2052,7.55737083,"271,523"
Hounslow,Burglary,2323,8.555444658,"271,523"
Hounslow,Drug Offences,2398,8.831664353,"271,523"
Hounslow,Miscellaneous Crimes Against Society,500,1.841464627,"271,523"
Hounslow,Other Accepted Crime,3347,12.32676422,"271,523"
Hounslow,Possession of Weapons,363,1.336903319,"271,523"
Hounslow,Public Order Offences,1893,6.971785079,"271,523"
Hounslow,Robbery,815,3.001587343,"271,523"
Hounslow,Sexual Offences,576,2.121367251,"271,523"
Hounslow,Theft,5780,21.28733109,"271,523"
Hounslow,Vehicle Offences,4352,16.02810812,"271,523"
Hounslow,Violence Against the Person,8354,30.76719099,"271,523"
Islington,Arson and Criminal Damage,1623,6.6936944,"242,467"
Islington,Burglary,2800,11.54796323,"242,467"
Islington,Drug Offences,1865,7.691768364,"242,467"
Islington,Miscellaneous Crimes Against Society,445,1.835301299,"242,467"
Islington,Other Accepted Crime,2656,10.95406798,"242,467"
Islington,Possession of Weapons,418,1.723945939,"242,467"
Islington,Public Order Offences,1984,8.182556802,"242,467"
Islington,Robbery,1665,6.866913848,"242,467"
Islington,Sexual Offences,673,2.775635447,"242,467"
Islington,Theft,10992,45.33400422,"242,467"
Islington,Vehicle Offences,3234,13.33789753,"242,467"
Islington,Violence Against the Person,7086,29.22459551,"242,467"
Kensington and Chelsea,Arson and Criminal Damage,1118,7.160745281,"156,129"
Kensington and Chelsea,Burglary,2222,14.23182112,"156,129"
Kensington and Chelsea,Drug Offences,1808,11.58016768,"156,129"
Kensington and Chelsea,Miscellaneous Crimes Against Society,205,1.3130168,"156,129"
Kensington and Chelsea,Other Accepted Crime,1602,10.26074592,"156,129"
Kensington and Chelsea,Possession of Weapons,221,1.41549616,"156,129"
Kensington and Chelsea,Public Order Offences,1357,8.691530721,"156,129"
Kensington and Chelsea,Robbery,1038,6.648348481,"156,129"
Kensington and Chelsea,Sexual Offences,405,2.5940088,"156,129"
Kensington and Chelsea,Theft,9817,62.87749233,"156,129"
Kensington and Chelsea,Vehicle Offences,3959,25.35723664,"156,129"
Kensington and Chelsea,Violence Against the Person,4661,29.85351856,"156,129"
Kingston upon Thames,Arson and Criminal Damage,993,5.594145583,"177,507"
Kingston upon Thames,Burglary,1060,5.971595486,"177,507"
Kingston upon Thames,Drug Offences,1233,6.946204938,"177,507"
Kingston upon Thames,Miscellaneous Crimes Against Society,209,1.177418355,"177,507"
Kingston upon Thames,Other Accepted Crime,1472,8.292630713,"177,507"
Kingston upon Thames,Possession of Weapons,138,0.777434129,"177,507"
Kingston upon Thames,Public Order Offences,982,5.532176196,"177,507"
Kingston upon Thames,Robbery,393,2.213997194,"177,507"
Kingston upon Thames,Sexual Offences,394,2.219630775,"177,507"
Kingston upon Thames,Theft,3657,20.60200443,"177,507"
Kingston upon Thames,Vehicle Offences,1518,8.551775423,"177,507"
Kingston upon Thames,Violence Against the Person,3835,21.60478178,"177,507"
Lambeth,Arson and Criminal Damage,2272,6.968598367,"326,034"
Lambeth,Burglary,3334,10.22592736,"326,034"
Lambeth,Drug Offences,3400,10.42836023,"326,034"
Lambeth,Miscellaneous Crimes Against Society,615,1.886306336,"326,034"
Lambeth,Other Accepted Crime,3334,10.22592736,"326,034"
Lambeth,Possession of Weapons,680,2.085672046,"326,034"
Lambeth,Public Order Offences,2455,7.529889521,"326,034"
Lambeth,Robbery,1457,4.468859076,"326,034"
Lambeth,Sexual Offences,1139,3.493500678,"326,034"
Lambeth,Theft,10600,32.51194661,"326,034"
Lambeth,Vehicle Offences,3718,11.40371863,"326,034"
Lambeth,Violence Against the Person,10222,31.35255832,"326,034"
Lewisham,Arson and Criminal Damage,2308,7.546380157,"305,842"
Lewisham,Burglary,2771,9.060233715,"305,842"
Lewisham,Drug Offences,2243,7.33385212,"305,842"
Lewisham,Miscellaneous Crimes Against Society,476,1.556359166,"305,842"
Lewisham,Other Accepted Crime,3446,11.26725564,"305,842"
Lewisham,Possession of Weapons,525,1.716572609,"305,842"
Lewisham,Public Order Offences,2035,6.6537624,"305,842"
Lewisham,Robbery,1316,4.302875341,"305,842"
Lewisham,Sexual Offences,717,2.344347735,"305,842"
Lewisham,Theft,5757,18.82344479,"305,842"
Lewisham,Vehicle Offences,4319,14.12167067,"305,842"
Lewisham,Violence Against the Person,9323,30.48305988,"305,842"
Merton,Arson and Criminal Damage,1200,5.809787555,"206,548"
Merton,Burglary,1722,8.337045142,"206,548"
Merton,Drug Offences,959,4.642988555,"206,548"
Merton,Miscellaneous Crimes Against Society,248,1.200689428,"206,548"
Merton,Other Accepted Crime,1762,8.530704727,"206,548"
Merton,Possession of Weapons,162,0.78432132,"206,548"
Merton,Public Order Offences,1017,4.923794953,"206,548"
Merton,Robbery,452,2.188353313,"206,548"
Merton,Sexual Offences,395,1.912388404,"206,548"
Merton,Theft,3254,15.75420725,"206,548"
Merton,Vehicle Offences,2100,10.16712822,"206,548"
Merton,Violence Against the Person,4379,21.20088309,"206,548"
Newham,Arson and Criminal Damage,2336,6.615052643,"353,134"
Newham,Burglary,2439,6.906726625,"353,134"
Newham,Drug Offences,4833,13.68602287,"353,134"
Newham,Miscellaneous Crimes Against Society,593,1.679249237,"353,134"
Newham,Other Accepted Crime,3937,11.1487424,"353,134"
Newham,Possession of Weapons,624,1.76703461,"353,134"
Newham,Public Order Offences,2288,6.479126904,"353,134"
Newham,Robbery,2063,5.841975001,"353,134"
Newham,Sexual Offences,985,2.789309441,"353,134"
Newham,Theft,9862,27.92707584,"353,134"
Newham,Vehicle Offences,4573,12.94975845,"353,134"
Newham,Violence Against the Person,10170,28.799266,"353,134"
Redbridge,Arson and Criminal Damage,1604,5.255191303,"305,222"
Redbridge,Burglary,2248,7.365130954,"305,222"
Redbridge,Drug Offences,1818,5.956320318,"305,222"
Redbridge,Miscellaneous Crimes Against Society,334,1.094285471,"305,222"
